listing_id,url,district,price_pen,price_usd,currency,area_m2,bedrooms,bathrooms,floor,antiquity_years,amenities_raw,days_listed,scraped_at
193753557,https://www.infocasas.com.pe/tvjc-estreno-vista-externa-3-dorm-gas-natural-alt-de-universitariacuzco/193753557,surco,2200.0,650.0,PEN,70.0,3,2,2,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",36,2026-06-21T02:29:31.506720+00:00
193604856,https://www.infocasas.com.pe/se-alquila-departamento-en-jesus-maria/193604856,surco,3400.0,1005.0,PEN,69.0,3,2,17,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",73,2026-06-21T02:29:31.510032+00:00
193812758,https://www.infocasas.com.pe/se-alquila-departamento-en-san-miguel/193812758,surco,2700.0,798.0,PEN,68.0,3,2,6,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",23,2026-06-21T02:29:31.513366+00:00
192888748,https://www.infocasas.com.pe/jcalquilo-departamento-03hab-cerca-a-zona-financiera-lince/192888748,surco,3000.0,887.0,PEN,95.0,4,3,33,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",275,2026-06-21T02:30:54.758042+00:00
193442407,https://www.infocasas.com.pe/alquiler-duplex-en-av-sucre-cochera-pueblo-libre/193442407,surco,3000.0,887.0,PEN,120.0,3,3,15,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",114,2026-06-21T02:30:54.768659+00:00
193598730,https://www.infocasas.com.pe/jc-en-estreno-03-dormit-cerca-av-universitaria-smiguel-993982485/193598730,surco,2200.0,650.0,PEN,68.0,3,2,0,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",74,2026-06-21T02:30:54.773668+00:00
193491016,https://www.infocasas.com.pe/alquiler-departamento-en-cercado-de-lima-urb-santa-beatriz/193491016,surco,2700.0,798.0,PEN,672.0,3,2,15,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",101,2026-06-21T02:30:54.778773+00:00
189704192,https://www.infocasas.com.pe/molina-minidepartamento-a-s-900-2do-piso-969537939/189704192,surco,900.0,266.0,PEN,45.0,1,1,3,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",1340,2026-06-21T02:30:57.602664+00:00
190669845,https://www.infocasas.com.pe/oficina-o-departamento-en-alquiler-en-avenida-sinchi-roca-comas/190669845,surco,700.0,207.0,PEN,50.0,2,1,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 0, ""ascensor"": 0, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",960,2026-06-21T02:30:57.642428+00:00
193569090,https://www.infocasas.com.pe/alquiler-de-comodo-y-luminoso-departamento-con-balcon-y-cochera-en-san-miguel/193569090,surco,2600.0,769.0,PEN,78.0,3,2,7,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",85,2026-06-21T02:30:57.662868+00:00
191135652,https://www.infocasas.com.pe/excelente-ubicacin-impecable-departamento/191135652,magdalena,2500.0,739.0,PEN,61.0,1,2,10,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",697,2026-06-21T02:29:33.452626+00:00
191208327,https://www.infocasas.com.pe/alquiler-y-venta-de-dpto-moderno-m-dormitorios-amplios-magdalena/191208327,magdalena,2200.0,650.0,PEN,90.0,3,2,6,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",682,2026-06-21T02:29:33.459825+00:00
189849095,https://www.infocasas.com.pe/magdalena-alquilo-dpto-amoblado-us700cerca-supermercados-vivanda-y-plaza-vea/189849095,magdalena,2772.0,819.0,PEN,89.0,2,1,3,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",1309,2026-06-21T02:29:33.463280+00:00
186955539,https://www.infocasas.com.pe/alquilo-bonito-departamento-de-1-dormitorio-en-magdalena/186955539,magdalena,1650.0,488.0,PEN,45.0,1,1,,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",2074,2026-06-21T02:29:33.466768+00:00
193882662,https://www.infocasas.com.pe/alquilo-lindo-departamento-magdalena/193882662,magdalena,2500.0,739.0,PEN,42.0,0,1,17,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 1}",3,2026-06-21T02:29:33.477139+00:00
191208010,https://www.infocasas.com.pe/alquiler-hermoso-departamento-magdalena-del-mar/191208010,magdalena,3256.0,962.0,PEN,109.0,3,2,2,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",682,2026-06-21T02:29:33.480384+00:00
191155562,https://www.infocasas.com.pe/duplex-de-dormitorio-con-cochera/191155562,magdalena,2480.0,733.0,PEN,60.0,1,1,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 0, ""amoblado"": 1, ""aire"": 0}",695,2026-06-21T02:29:33.483695+00:00
191155865,https://www.infocasas.com.pe/departamento-amoblado-de-m-con-balcn-cerca-al-real-plaza-salaverry-jvprado/191155865,magdalena,3500.0,1035.0,PEN,115.0,3,2,,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 0, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 1, ""aire"": 1}",695,2026-06-21T02:31:37.617356+00:00
186955373,https://www.infocasas.com.pe/alquiler-lindo-departamento-con-vista-al-mar/186955373,magdalena,2946.0,871.0,PEN,97.0,3,2,,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",2074,2026-06-21T02:31:37.631816+00:00
189344129,https://www.infocasas.com.pe/vendoalquilo-iluminado-y-funcional-departamento-en-magdalena-cerca-de-la-upc/189344129,magdalena,2790.0,825.0,PEN,82.0,3,2,7,,"{""piscina"": 1, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 0, ""amoblado"": 0, ""aire"": 1}",1471,2026-06-21T02:31:37.635612+00:00
191170870,https://www.infocasas.com.pe/se-alquila-hermoso-departamento-en-av-ejrcito-magdalena/191170870,magdalena,3200.0,946.0,PEN,100.0,3,2,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",693,2026-06-21T02:31:37.638913+00:00
191140229,https://www.infocasas.com.pe/depart-piso-full-amoblado-osin-amoblar-con-terrazas-todo-vista-al-exterior/191140229,magdalena,3000.0,887.0,PEN,78.0,3,2,17,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 1, ""aire"": 1}",697,2026-06-21T02:31:37.642344+00:00
190649562,https://www.infocasas.com.pe/se-alquila-departamento-semi-estreno-en-magdalena/190649562,magdalena,2200.0,650.0,PEN,67.0,2,2,,,"{""piscina"": 0, ""gimnasio"": 0, ""cochera"": 0, ""ascensor"": 1, ""seguridad"": 1, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",968,2026-06-21T02:31:37.645803+00:00
189849864,https://www.infocasas.com.pe/alquilo-departamento-dos-dormitorios-de-82-m2-magdalena-del-mar/189849864,magdalena,2500.0,739.0,PEN,82.0,2,2,14,,"{""piscina"": 1, ""gimnasio"": 0, ""cochera"": 1, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",1308,2026-06-21T02:31:37.649674+00:00
190439773,https://www.infocasas.com.pe/alquilo-bonito-dpto-de-dorm-cerca-a-bajada-de-sucre-circuito-playas/190439773,magdalena,1900.0,562.0,PEN,60.0,2,2,,,"{""piscina"": 0, ""gimnasio"": 1, ""cochera"": 0, ""ascensor"": 1, ""seguridad"": 0, ""terraza"": 1, ""amoblado"": 0, ""aire"": 1}",1059,2026-06-21T02:31:37.653409+00:00
